epoch,loss,ppl
0, 0.52880, 1.69690
1, 0.41412, 1.51304
2, 0.37923, 1.46116
3, 0.35723, 1.42937
4, 0.32967, 1.39051
5, 0.29828, 1.34755
6, 0.27361, 1.31470
7, 0.25657, 1.29249
8, 0.24509, 1.27773
9, 0.23709, 1.26756
10, 0.22961, 1.25810
11, 0.22205, 1.24863
12, 0.21552, 1.24050
13, 0.20964, 1.23324
14, 0.20452, 1.22694
15, 0.19977, 1.22112
16, 0.19554, 1.21597
17, 0.19164, 1.21124
18, 0.18797, 1.20680
19, 0.18459, 1.20272
20, 0.18144, 1.19894
21, 0.17848, 1.19540
22, 0.17576, 1.19215
23, 0.17314, 1.18903
24, 0.17078, 1.18623
25, 0.16845, 1.18347
26, 0.16631, 1.18094
27, 0.16435, 1.17862
28, 0.16238, 1.17631
